action step pot2 s2 s1 cnt s0
- 0 0 0 0 0 0
[s] 1 0 0 0 1 0
[s] 2 0 0 0 2 0
[s] 3 0 0 0 3 0
[s] 4 0 0 0 0 1
[s] 5 0 0 1 1 1
[s] 6 1 0 1 2 1
[s] 7 2 0 0 3 1
[s] 8 0 1 1 0 0
[reset] 9 0 0 1 0 0
[s] 10 1 0 0 1 0
[s] 11 1 0 0 2 0
[s] 12 1 0 0 3 0
[s] 13 0 0 0 0 0
[s] 14 0 0 1 1 0
[s] 15 1 0 1 2 0
[s] 16 2 0 0 3 0
[s] 17 0 1 0 0 1
[reset] 18 0 0 0 0 1
[s] 19 0 0 1 1 1
[s] 20 1 0 1 2 1
[s] 21 2 0 1 3 1
[s] 22 0 1 1 0 0
[reset] 23 0 0 1 0 0
[s] 24 1 0 0 1 0
[s] 25 1 0 0 2 0
[s] 26 1 0 0 3 0
[s] 27 0 0 0 0 1
[s] 28 0 0 1 1 1
[s] 29 1 0 1 2 1
[s] 30 2 0 0 3 1
[s] 31 0 1 1 0 0
[reset] 32 0 0 1 0 0
[s] 33 1 0 0 1 0
[s] 34 1 0 0 2 0
[s] 35 1 0 0 3 0
[s] 36 0 0 0 0 0
[s] 37 0 0 1 1 0
[s] 38 1 0 0 2 0
[s] 39 1 0 0 3 0
[s] 40 0 0 0 0 0
[s] 41 0 0 0 1 0
[s] 42 0 0 0 2 0
[s] 43 0 0 0 3 0
[s] 44 0 0 0 0 1
[s] 45 0 0 1 1 1
[s] 46 1 0 1 2 1
[s] 47 2 0 1 3 1
[s] 48 0 1 1 0 1
[reset] 49 0 0 1 0 1
[s] 50 1 0 1 1 1
[s] 51 2 0 1 2 1
[s] 52 3 0 1 3 1
[s] 53 0 1 1 0 0
[reset] 54 0 0 1 0 0
[s] 55 1 0 0 1 0
[s] 56 1 0 0 2 0
[s] 57 1 0 0 3 0
[s] 58 0 0 0 0 0
[s] 59 0 0 0 1 0
[s] 60 0 0 0 2 0
[s] 61 0 0 0 3 0
[s] 62 0 0 0 0 0
[s] 63 0 0 0 1 0
[s] 64 0 0 0 2 0
[s] 65 0 0 0 3 0
[s] 66 0 0 0 0 1
[s] 67 0 0 1 1 1
[s] 68 1 0 1 2 1
[s] 69 2 0 1 3 1
[s] 70 0 1 1 0 0
[reset] 71 0 0 1 0 0
[s] 72 1 0 0 1 0
[s] 73 1 0 0 2 0
[s] 74 1 0 0 3 0
[s] 75 0 0 0 0 0
[s] 76 0 0 0 1 0
[s] 77 0 0 0 2 0
[s] 78 0 0 0 3 0
[s] 79 0 0 0 0 1
[s] 80 0 0 1 1 1
