(z2,s3,pot_s3,s2,pot_s2,z1,s1,pot_s1,s0)
0:(0,0,0,0,0,0,0,0,0)
1:(0,0,0,0,0,0,0,0,1)
2:(0,0,0,0,0,0,0,3,0)
3:(0,0,0,0,0,0,0,3,1)
4:(0,0,0,0,0,0,0,6,0)
5:(0,0,0,0,0,0,0,6,1)
6:(0,0,0,0,0,0,0,9,0)
7:(0,0,0,0,0,0,0,9,1)
8:(0,0,0,0,0,0,0,12,0)
9:(0,0,0,0,0,0,0,12,1)
10:(0,0,0,0,0,0,1,11,0)
11:(0,0,0,0,0,0,1,11,1)
12:(0,0,0,0,0,0,1,14,0)
13:(0,0,0,0,0,0,1,14,1)
14:(0,0,0,0,3,0,0,0,0)
15:(0,0,0,0,3,0,0,0,1)
16:(0,0,0,0,3,0,0,3,0)
17:(0,0,0,0,3,0,0,3,1)
18:(0,0,0,0,3,0,0,6,0)
19:(0,0,0,0,3,0,0,6,1)
20:(0,0,0,0,3,0,0,9,0)
21:(0,0,0,0,3,0,0,9,1)
22:(0,0,0,0,3,0,0,12,0)
23:(0,0,0,0,3,0,0,12,1)
24:(0,0,0,0,3,0,1,11,0)
25:(0,0,0,0,3,0,1,11,1)
26:(0,0,0,0,3,0,1,14,0)
27:(0,0,0,0,3,0,1,14,1)
28:(0,0,0,0,6,0,0,0,0)
29:(0,0,0,0,6,0,0,0,1)
30:(0,0,0,0,6,0,0,3,0)
31:(0,0,0,0,6,0,0,3,1)
32:(0,0,0,0,6,0,0,6,0)
33:(0,0,0,0,6,0,0,6,1)
34:(0,0,0,0,6,0,0,9,0)
35:(0,0,0,0,6,0,0,9,1)
36:(0,0,0,0,6,0,0,12,0)
37:(0,0,0,0,6,0,0,12,1)
38:(0,0,0,0,6,0,1,11,0)
39:(0,0,0,0,6,0,1,11,1)
40:(0,0,0,0,6,0,1,14,0)
41:(0,0,0,0,6,0,1,14,1)
42:(0,0,0,0,9,0,0,0,0)
43:(0,0,0,0,9,0,0,0,1)
44:(0,0,0,0,9,0,0,3,0)
45:(0,0,0,0,9,0,0,3,1)
46:(0,0,0,0,9,0,0,6,0)
47:(0,0,0,0,9,0,0,6,1)
48:(0,0,0,0,9,0,0,9,0)
49:(0,0,0,0,9,0,0,9,1)
50:(0,0,0,0,9,0,0,12,0)
51:(0,0,0,0,9,0,0,12,1)
52:(0,0,0,0,9,0,1,11,0)
53:(0,0,0,0,9,0,1,11,1)
54:(0,0,0,0,9,0,1,14,0)
55:(0,0,0,0,9,0,1,14,1)
56:(0,0,0,1,9,0,0,0,0)
57:(0,0,0,1,9,0,0,0,1)
58:(0,0,0,1,9,0,0,3,0)
59:(0,0,0,1,9,0,0,3,1)
60:(0,0,0,1,9,0,0,6,0)
61:(0,0,0,1,9,0,0,6,1)
62:(0,0,0,1,9,0,0,9,0)
63:(0,0,0,1,9,0,0,9,1)
64:(0,0,0,1,9,0,0,12,0)
65:(0,0,0,1,9,0,0,12,1)
66:(0,0,0,1,9,0,1,11,0)
67:(0,0,0,1,9,0,1,11,1)
68:(0,0,0,1,9,0,1,14,0)
69:(0,0,0,1,9,0,1,14,1)
